"","X","SpawnBio_om","Recruit_0_om","F_om","SPRratio_om","SpawnBio_em","Recruit_0_em","F_em","SPRratio_em","scenario","replicate","D","F","species","year","ID","F_re","Recruit_0_re","SpawnBio_re","SPRratio_re"
"1",1,4084180000,155131000,0,0,3820900000,120022000,0,0,"D0-F1-cod",1,"D0","F1","cod",1,"D0-F1-cod-1",NA,-0.226318401866809,-0.0644633684117742,NA
"2",2,4084200000,174064000,0,0,3820900000,119613000,0,0,"D0-F1-cod",1,"D0","F1","cod",2,"D0-F1-cod-1",NA,-0.312821720746392,-0.0644679496596641,NA
"3",3,4091160000,105101000,0,0,3820670000,119194000,0,0,"D0-F1-cod",1,"D0","F1","cod",3,"D0-F1-cod-1",NA,0.134090065746282,-0.0661157226801201,NA
"4",4,4121110000,28647400,0,0,3819740000,118764000,0,0,"D0-F1-cod",1,"D0","F1","cod",4,"D0-F1-cod-1",NA,3.14571653972088,-0.0731283561952969,NA
"5",5,4159120000,141111000,0,0,3817880000,118320000,0,0,"D0-F1-cod",1,"D0","F1","cod",5,"D0-F1-cod-1",NA,-0.161511150796182,-0.0820462020812095,NA
"6",6,4145520000,53683200,0,0,3814900000,117860000,0,0,"D0-F1-cod",1,"D0","F1","cod",6,"D0-F1-cod-1",NA,1.19547269909394,-0.0797535652945831,NA
"7",7,4080190000,73189400,0,0,3810750000,117381000,0,0,"D0-F1-cod",1,"D0","F1","cod",7,"D0-F1-cod-1",NA,0.603797817716773,-0.0660361404738505,NA
"8",8,3998250000,110772000,0,0,3805390000,116880000,0,0,"D0-F1-cod",1,"D0","F1","cod",8,"D0-F1-cod-1",NA,0.0551402881594627,-0.0482361032951916,NA
"9",9,3871510000,140683000,0,0,3798870000,116355000,0,0,"D0-F1-cod",1,"D0","F1","cod",9,"D0-F1-cod-1",NA,-0.172927788005658,-0.0187627049910758,NA
"10",10,3735570000,169028000,0,0,3791240000,115800000,0,0,"D0-F1-cod",1,"D0","F1","cod",10,"D0-F1-cod-1",NA,-0.314906406039236,0.0149026788415155,NA
"11",11,3626460000,83293400,0,0,3782540000,115210000,0,0,"D0-F1-cod",1,"D0","F1","cod",11,"D0-F1-cod-1",NA,0.383182821207923,0.0430392173083393,NA
"12",12,3571810000,52935500,0,0,3772840000,114564000,0,0,"D0-F1-cod",1,"D0","F1","cod",12,"D0-F1-cod-1",NA,1.16421871900709,0.0562823890408504,NA
"13",13,3556850000,95885100,0,0,3762160000,113860000,0,0,"D0-F1-cod",1,"D0","F1","cod",13,"D0-F1-cod-1",NA,0.187462911338675,0.0577224229304019,NA
