"","X","SpawnBio_om","Recruit_0_om","F_om","SPRratio_om","SpawnBio_em","Recruit_0_em","F_em","SPRratio_em","scenario","replicate","D","F","species","year","ID","F_re","Recruit_0_re","SpawnBio_re","SPRratio_re"
"29",29,3701030000,127594000,0.0129744,0.104977,3638080000,83941400,0.0133646,0.108318,"D0-F1-cod",1,"D0","F1","cod",29,"D0-F1-cod-1",0.0300746084597361,-0.342121102873176,-0.0170087786372983,0.0318260190327405
"30",30,3762350000,112706000,0.0172991,0.13641,3603660000,181119000,0.0182937,0.143984,"D0-F1-cod",1,"D0","F1","cod",30,"D0-F1-cod-1",0.0574943205137839,0.60700406367008,-0.0421784257179688,0.0555237885785499
"31",31,3798710000,86725000,0.0216239,0.16626,3543140000,73420900,0.0234807,0.179319,"D0-F1-cod",1,"D0","F1","cod",31,"D0-F1-cod-1",0.0858679516645933,-0.153405592389738,-0.0672781023031503,0.0785456513893902
"32",32,3789300000,198747000,0.0259487,0.19463,3469430000,195145000,0.0283787,0.210772,"D0-F1-cod",1,"D0","F1","cod",32,"D0-F1-cod-1",0.093646309834404,-0.0181235440031799,-0.0844140078642493,0.0829368545445203
"33",33,3727270000,144100000,0.0302735,0.221615,3403380000,136198000,0.0331644,0.239839,"D0-F1-cod",1,"D0","F1","cod",33,"D0-F1-cod-1",0.0954927576923712,-0.0548369188063845,-0.08689738065662,0.0822327008550865
"34",34,3643580000,77178100,0.0345983,0.247302,3329330000,77508400,0.0377591,0.266305,"D0-F1-cod",1,"D0","F1","cod",34,"D0-F1-cod-1",0.0913570897992097,0.00427971147255504,-0.0862475916543619,0.0768412709965953
"35",35,3582480000,79536500,0.0389231,0.271773,3290950000,75602600,0.04223,0.290791,"D0-F1-cod",1,"D0","F1","cod",35,"D0-F1-cod-1",0.0849598310514834,-0.0494603106749731,-0.0813765882852102,0.0699775180021563
"36",36,3497910000,131731000,0.0432479,0.295101,3234060000,98355900,0.0466127,0.313658,"D0-F1-cod",1,"D0","F1","cod",36,"D0-F1-cod-1",0.0778026216301832,-0.253357979518868,-0.0754307572235992,0.0628835551218057
"37",37,3365380000,70376100,0.0475726,0.317357,3131310000,90621900,0.0509918,0.335451,"D0-F1-cod",1,"D0","F1","cod",37,"D0-F1-cod-1",0.0718733052219134,0.28768005047168,-0.0695523239574729,0.0570146554196063
"38",38,3211050000,116190000,0.0518974,0.338603,2994930000,96092500,0.0557022,0.357787,"D0-F1-cod",1,"D0","F1","cod",38,"D0-F1-cod-1",0.0733138847032799,-0.17297099578277,-0.0673050871210352,0.0566563202334298
"39",39,3049210000,107889000,0.0562222,0.358898,2842120000,127967000,0.0602211,0.378204,"D0-F1-cod",1,"D0","F1","cod",39,"D0-F1-cod-1",0.0711267079552205,0.18609867549055,-0.0679159520006822,0.0537924424209664
"40",40,2874020000,90040500,0.060547,0.378299,2682100000,88096500,0.0649107,0.398409,"D0-F1-cod",1,"D0","F1","cod",40,"D0-F1-cod-1",0.0720712834657374,-0.0215902843720326,-0.0667775450414402,0.0531590091435611
"41",41,2714600000,58023600,0.0648718,0.396855,2535980000,77711500,0.0691912,0.416028,"D0-F1-cod",1,"D0","F1","cod",41,"D0-F1-cod-1",0.0665836311001082,0.33930848827029,-0.0657997495026892,0.04831235589825
"42",42,2563840000,74168400,0.0691966,0.414614,2410930000,77265100,0.0733,0.432243,"D0-F1-cod",1,"D0","F1","cod",42,"D0-F1-cod-1",0.059300601474639,0.041752282643282,-0.0596410072391413,0.0425190659263797
"43",43,2406940000,134381000,0.0735214,0.43162,2284670000,133975000,0.0768894,0.445877,"D0-F1-cod",1,"D0","F1","cod",43,"D0-F1-cod-1",0.0458097914348747,-0.0030212604460452,-0.0507989397326065,0.0330313701867384
"44",44,2239150000,122544000,0.0778462,0.447915,2155780000,110025000,0.0802414,0.458183,"D0-F1-cod",1,"D0","F1","cod",44,"D0-F1-cod-1",0.0307683612045289,-0.102159224441833,-0.0372328785476632,0.0229239922753201
"45",45,2093020000,116798000,0.0821709,0.463537,2044020000,109497000,0.0835433,0.469921,"D0-F1-cod",1,"D0","F1","cod",45,"D0-F1-cod-1",0.0167017764196327,-0.0625096320142468,-0.0234111475284517,0.0137723633712088
"46",46,1992620000,72443700,0.0864957,0.478522,1967880000,75292000,0.0872705,0.48273,"D0-F1-cod",1,"D0","F1","cod",46,"D0-F1-cod-1",0.00895767072814031,0.0393174285686678,-0.0124158143549698,0.00879374407028306
"47",47,1923330000,192838000,0.0908205,0.492904,1908940000,169253000,0.0913793,0.496334,"D0-F1-cod",1,"D0","F1","cod",47,"D0-F1-cod-1",0.00615279589960414,-0.122304732469741,-0.00748181539309427,0.00695875870352034
"48",48,1861720000,106913000,0.0951453,0.506713,1851950000,96402200,0.0955397,0.509585,"D0-F1-cod",1,"D0","F1","cod",48,"D0-F1-cod-1",0.00414523891353544,-0.0983117113915052,-0.0052478353350665,0.00566790273784171
"49",49,1819380000,124820000,0.0994701,0.519979,1806530000,113145000,0.100536,0.524835,"D0-F1-cod",1,"D0","F1","cod",49,"D0-F1-cod-1",0.010715782933766,-0.0935346899535331,-0.00706284558475964,0.00933883868387008
"50",50,1816890000,86986100,0.103795,0.532729,1788440000,91201400,0.105955,0.540609,"D0-F1-cod",1,"D0","F1","cod",50,"D0-F1-cod-1",0.0208102509754805,0.0484594665124658,-0.0156586254533846,0.0147917609140858
"51",51,1806920000,202567000,0.10812,0.544991,1759340000,169605000,0.111657,0.556391,"D0-F1-cod",1,"D0","F1","cod",51,"D0-F1-cod-1",0.0327136514983353,-0.162721469933405,-0.0263321010338034,0.0209177766238341
"52",52,1785120000,111085000,0.112444,0.556787,1720960000,107212000,0.117012,0.570505,"D0-F1-cod",1,"D0","F1","cod",52,"D0-F1-cod-1",0.0406246665006581,-0.0348651933204303,-0.0359415613516178,0.0246377878793866
"53",53,1768670000,63709400,0.116769,0.56814,1687240000,74735200,0.123329,0.586325,"D0-F1-cod",1,"D0","F1","cod",53,"D0-F1-cod-1",0.0561792941619779,0.173063943468311,-0.046040244929806,0.0320079557855458
"54",54,1778150000,55079900,0.121094,0.579073,1671510000,70105500,0.129527,0.60103,"D0-F1-cod",1,"D0","F1","cod",54,"D0-F1-cod-1",0.069640114291377,0.272796428461199,-0.0599724432696904,0.0379174991754062
"55",55,1749080000,114790000,0.125419,0.589604,1629500000,110534000,0.134788,0.612923,"D0-F1-cod",1,"D0","F1","cod",55,"D0-F1-cod-1",0.0747016002360088,-0.0370764003833087,-0.0683673702746587,0.0395502744214761
"56",56,1668710000,91373300,0.129744,0.599753,1554050000,92658200,0.138856,0.621764,"D0-F1-cod",1,"D0","F1","cod",56,"D0-F1-cod-1",0.0702306079664571,0.0140620947257021,-0.0687117593829965,0.0367001082112136
"57",57,1567800000,75231600,0.134068,0.609539,1468260000,82096200,0.142636,0.629719,"D0-F1-cod",1,"D0","F1","cod",57,"D0-F1-cod-1",0.0639078676492528,0.0912462316367059,-0.0634902411021814,0.0331069874117981
"58",58,1477520000,51540700,0.138393,0.618977,1392880000,39170500,0.14613,0.636854,"D0-F1-cod",1,"D0","F1","cod",58,"D0-F1-cod-1",0.0559060068067028,-0.24000838172551,-0.0572851805728518,0.0288815254847919
"59",59,1386670000,168083000,0.142718,0.628083,1319270000,150987000,0.149113,0.642788,"D0-F1-cod",1,"D0","F1","cod",59,"D0-F1-cod-1",0.0448086436188847,-0.101711654361238,-0.0486056523902587,0.0234125107668892
"60",60,1287710000,60402800,0.147043,0.636874,1234780000,75508300,0.153233,0.650751,"D0-F1-cod",1,"D0","F1","cod",60,"D0-F1-cod-1",0.0420965295865835,0.250079466514797,-0.0411039752739359,0.0217892393157829
"61",61,1212560000,190382000,0.151368,0.645362,1159870000,158992000,0.158702,0.660926,"D0-F1-cod",1,"D0","F1","cod",61,"D0-F1-cod-1",0.0484514560541198,-0.164879032681661,-0.0434535198258231,0.0241166972954714
"62",62,1174930000,92368900,0.155692,0.653561,1120170000,107258000,0.162991,0.668604,"D0-F1-cod",1,"D0","F1","cod",62,"D0-F1-cod-1",0.0468810215039951,0.161191699803722,-0.0466070319082839,0.0230169792873198
"63",63,1155940000,45106200,0.160017,0.661484,1098210000,49998500,0.169451,0.679696,"D0-F1-cod",1,"D0","F1","cod",63,"D0-F1-cod-1",0.0589562358999356,0.108461807911108,-0.0499420385141097,0.0275320340325692
"64",64,1174470000,126405000,0.164342,0.669143,1106310000,105456000,0.174246,0.687578,"D0-F1-cod",1,"D0","F1","cod",64,"D0-F1-cod-1",0.0602645702255055,-0.165729203749852,-0.0580346879869218,0.0275501649124327
"65",65,1156460000,95918100,0.168667,0.67655,1091710000,121858000,0.178334,0.694076,"D0-F1-cod",1,"D0","F1","cod",65,"D0-F1-cod-1",0.0573141159800078,0.270438009093174,-0.0559898310360929,0.025904958983076
"66",66,1117010000,124962000,0.168667,0.67655,1052800000,125383000,0.179545,0.695963,"D0-F1-cod",1,"D0","F1","cod",66,"D0-F1-cod-1",0.0644939436878583,0.00336902418335174,-0.0574838184080715,0.0286941098218905
"67",67,1092940000,140680000,0.165867,0.671783,1029540000,123568000,0.174633,0.688202,"D0-F1-cod",1,"D0","F1","cod",67,"D0-F1-cod-1",0.0528495722476443,-0.12163775945408,-0.0580086738521785,0.0244409280973171
"68",68,1079740000,65129100,0.163067,0.666912,1031910000,70644800,0.169329,0.679491,"D0-F1-cod",1,"D0","F1","cod",68,"D0-F1-cod-1",0.0384013932923278,0.0846887182534382,-0.0442977012984607,0.0188615589463078
"69",69,1093710000,82066500,0.160267,0.661933,1054780000,77750100,0.16595,0.673753,"D0-F1-cod",1,"D0","F1","cod",69,"D0-F1-cod-1",0.035459576831163,-0.0525963700169984,-0.035594444596831,0.0178567921526802
